rank_this_week,rank_last_week,player_name,rounds,avg,total_distance,total_drives,tournamet_id,tournament_name,year,type
1,2,Cameron Champ,4,319.3,"2,554",8,t060,TOUR Championship,2020,weekly
2,T4,Dustin Johnson,4,317.6,"2,541",8,t060,TOUR Championship,2020,weekly
3,T4,Tony Finau,4,313.5,"2,508",8,t060,TOUR Championship,2020,weekly
4,T53,Tyrrell Hatton,4,312.4,"2,499",8,t060,TOUR Championship,2020,weekly
5,3,Rory McIlroy,4,311.8,"2,494",8,t060,TOUR Championship,2020,weekly
6,T40,Lanto Griffin,4,309.5,"2,476",8,t060,TOUR Championship,2020,weekly
7,6,Jon Rahm,4,308.3,"2,466",8,t060,TOUR Championship,2020,weekly
8,14,Joaquin Niemann,4,305.1,"2,441",8,t060,TOUR Championship,2020,weekly
9,T50,Mackenzie Hughes,4,304.6,"2,437",8,t060,TOUR Championship,2020,weekly
T10,26,Patrick Reed,4,304.3,"2,434",8,t060,TOUR Championship,2020,weekly
T10,60,Sungjae Im,4,304.3,"2,434",8,t060,TOUR Championship,2020,weekly
12,39,Sebastián Muñoz,4,304,"2,432",8,t060,TOUR Championship,2020,weekly
13,21,Cameron Smith,4,303.6,"2,429",8,t060,TOUR Championship,2020,weekly
T14,31,Ryan Palmer,4,302.5,"2,420",8,t060,TOUR Championship,2020,weekly
T14,T15,Xander Schauffele,4,302.5,"2,420",8,t060,TOUR Championship,2020,weekly
T14,42,Viktor Hovland,4,302.5,"2,420",8,t060,TOUR Championship,2020,weekly
17,30,Collin Morikawa,4,302.4,"2,419",8,t060,TOUR Championship,2020,weekly
18,19,Scottie Scheffler,4,302,"2,416",8,t060,TOUR Championship,2020,weekly
19,8,Justin Thomas,4,300.1,"2,401",8,t060,TOUR Championship,2020,weekly
20,T32,Billy Horschel,4,296.6,"2,373",8,t060,TOUR Championship,2020,weekly
21,T22,Harris English,4,295,"2,360",8,t060,TOUR Championship,2020,weekly
T22,,Webb Simpson,4,294.5,"2,356",8,t060,TOUR Championship,2020,weekly
T22,10,Hideki Matsuyama,4,294.5,"2,356",8,t060,TOUR Championship,2020,weekly
T24,59,Kevin Kisner,4,293.9,"2,351",8,t060,TOUR Championship,2020,weekly
