rank_this_week,rank_last_week,player_name,events,money,ytd_victories,tournamet_id,tournament_name,year,type
1,T6,Jon Rahm,1,"$1,710,000",NA,t028,BMW Championship,2020,weekly
2,1,Dustin Johnson,1,"$1,026,000",NA,t028,BMW Championship,2020,weekly
T3,T29,Hideki Matsuyama,1,"$551,000",NA,t028,BMW Championship,2020,weekly
T3,,Joaquin Niemann,1,"$551,000",NA,t028,BMW Championship,2020,weekly
5,,Tony Finau,1,"$384,750",NA,t028,BMW Championship,2020,weekly
T6,T13,Jason Kokrak,1,"$337,250",NA,t028,BMW Championship,2020,weekly
T6,,Matt Fitzpatrick,1,"$337,250",NA,t028,BMW Championship,2020,weekly
T8,T18,Sebastián Muñoz,1,"$285,000",NA,t028,BMW Championship,2020,weekly
T8,64,Brendon Todd,1,"$285,000",NA,t028,BMW Championship,2020,weekly
T10,T58,Lanto Griffin,1,"$247,000",NA,t028,BMW Championship,2020,weekly
T10,T13,Mackenzie Hughes,1,"$247,000",NA,t028,BMW Championship,2020,weekly
T12,,Byeong Hun An,1,"$192,375",NA,t028,BMW Championship,2020,weekly
T12,,Patrick Cantlay,1,"$192,375",NA,t028,BMW Championship,2020,weekly
T12,T11,Brian Harman,1,"$192,375",NA,t028,BMW Championship,2020,weekly
T12,T65,Rory McIlroy,1,"$192,375",NA,t028,BMW Championship,2020,weekly
T16,T49,Paul Casey,1,"$147,250",NA,t028,BMW Championship,2020,weekly
T16,T18,Bubba Watson,1,"$147,250",NA,t028,BMW Championship,2020,weekly
T16,T25,Tyrrell Hatton,1,"$147,250",NA,t028,BMW Championship,2020,weekly
T16,T44,Matthew Wolff,1,"$147,250",NA,t028,BMW Championship,2020,weekly
T20,,Joel Dahmen,1,"$106,780",NA,t028,BMW Championship,2020,weekly
T20,T18,Cameron Smith,1,"$106,780",NA,t028,BMW Championship,2020,weekly
T20,T4,Scottie Scheffler,1,"$106,780",NA,t028,BMW Championship,2020,weekly
T20,68,Richy Werenski,1,"$106,780",NA,t028,BMW Championship,2020,weekly
T20,,Collin Morikawa,1,"$106,780",NA,t028,BMW Championship,2020,weekly
T25,T49,Justin Thomas,1,"$69,469",NA,t028,BMW Championship,2020,weekly
T25,,Carlos Ortiz,1,"$69,469",NA,t028,BMW Championship,2020,weekly
T25,T8,Russell Henley,1,"$69,469",NA,t028,BMW Championship,2020,weekly
T25,3,Daniel Berger,1,"$69,469",NA,t028,BMW Championship,2020,weekly
T25,T25,Xander Schauffele,1,"$69,469",NA,t028,BMW Championship,2020,weekly
T25,T13,Louis Oosthuizen,1,"$69,469",NA,t028,BMW Championship,2020,weekly
T25,T4,Kevin Kisner,1,"$69,469",NA,t028,BMW Championship,2020,weekly
T25,T58,Adam Scott,1,"$69,469",NA,t028,BMW Championship,2020,weekly
T33,T44,Brendan Steele,1,"$49,129",NA,t028,BMW Championship,2020,weekly
T33,,Billy Horschel,1,"$49,129",NA,t028,BMW Championship,2020,weekly
T33,T18,Danny Lee,1,"$49,129",NA,t028,BMW Championship,2020,weekly
T33,,Dylan Frittelli,1,"$49,129",NA,t028,BMW Championship,2020,weekly
T33,,Gary Woodland,1,"$49,129",NA,t028,BMW Championship,2020,weekly
T33,T25,Corey Conners,1,"$49,129",NA,t028,BMW Championship,2020,weekly
T33,,Abraham Ancer,1,"$49,129",NA,t028,BMW Championship,2020,weekly
T40,,Adam Hadwin,1,"$34,200",NA,t028,BMW Championship,2020,weekly
T40,2,Harris English,1,"$34,200",NA,t028,BMW Championship,2020,weekly
T40,T49,Patrick Reed,1,"$34,200",NA,t028,BMW Championship,2020,weekly
T40,T61,Maverick McNealy,1,"$34,200",NA,t028,BMW Championship,2020,weekly
T40,T18,Viktor Hovland,1,"$34,200",NA,t028,BMW Championship,2020,weekly
T40,,Jim Herman,1,"$34,200",NA,t028,BMW Championship,2020,weekly
T40,T8,Alex Noren,1,"$34,200",NA,t028,BMW Championship,2020,weekly
T40,T8,Ryan Palmer,1,"$34,200",NA,t028,BMW Championship,2020,weekly
T48,T44,Charles Howell III,1,"$25,365",NA,t028,BMW Championship,2020,weekly
T48,T29,Tyler Duncan,1,"$25,365",NA,t028,BMW Championship,2020,weekly
50,,Bryson DeChambeau,1,"$23,940",NA,t028,BMW Championship,2020,weekly
T51,T29,Mark Hubbard,1,"$22,496",NA,t028,BMW Championship,2020,weekly
T51,T58,Tiger Woods,1,"$22,496",NA,t028,BMW Championship,2020,weekly
T51,T39,Kevin Na,1,"$22,496",NA,t028,BMW Championship,2020,weekly
T51,,Nick Taylor,1,"$22,496",NA,t028,BMW Championship,2020,weekly
T51,T61,Kevin Streelman,1,"$22,496",NA,t028,BMW Championship,2020,weekly
T56,T11,Harry Higgs,1,"$21,470",NA,t028,BMW Championship,2020,weekly
T56,T49,Adam Long,1,"$21,470",NA,t028,BMW Championship,2020,weekly
T56,,Sungjae Im,1,"$21,470",NA,t028,BMW Championship,2020,weekly
T59,,Max Homa,1,"$20,710",NA,t028,BMW Championship,2020,weekly
T59,T13,Robby Shelton,1,"$20,710",NA,t028,BMW Championship,2020,weekly
T59,T39,J.T. Poston,1,"$20,710",NA,t028,BMW Championship,2020,weekly
T59,T18,Matt Kuchar,1,"$20,710",NA,t028,BMW Championship,2020,weekly
T59,,Michael Thompson,1,"$20,710",NA,t028,BMW Championship,2020,weekly
64,,Jason Day,1,"$20,140",NA,t028,BMW Championship,2020,weekly
T65,,Tom Hoge,1,"$19,760",NA,t028,BMW Championship,2020,weekly
T65,T18,Talor Gooch,1,"$19,760",NA,t028,BMW Championship,2020,weekly
T65,,Cameron Champ,1,"$19,760",NA,t028,BMW Championship,2020,weekly
68,67,Andrew Landry,1,"$19,380",NA,t028,BMW Championship,2020,weekly
69,,Marc Leishman,1,"$19,190",NA,t028,BMW Championship,2020,weekly
1,,Dustin Johnson,1,"$1,710,000",NA,t027,THE NORTHERN TRUST,2020,weekly
2,T23,Harris English,1,"$1,035,500",NA,t027,THE NORTHERN TRUST,2020,weekly
3,,Daniel Berger,1,"$655,500",NA,t027,THE NORTHERN TRUST,2020,weekly
T4,,Scottie Scheffler,1,"$427,500",NA,t027,THE NORTHERN TRUST,2020,weekly
T4,T3,Kevin Kisner,1,"$427,500",NA,t027,THE NORTHERN TRUST,2020,weekly
T6,T3,Webb Simpson,1,"$332,500",NA,t027,THE NORTHERN TRUST,2020,weekly
T6,,Jon Rahm,1,"$332,500",NA,t027,THE NORTHERN TRUST,2020,weekly
T8,T9,Russell Henley,1,"$277,875",NA,t027,THE NORTHERN TRUST,2020,weekly
T8,,Ryan Palmer,1,"$277,875",NA,t027,THE NORTHERN TRUST,2020,weekly
