rank_this_week,rank_last_week,player_name,rounds,total,tournamet_id,tournament_name,year,type
T1,T6,Xander Schauffele,4,21,t060,TOUR Championship,2020,weekly
T1,T12,Collin Morikawa,4,21,t060,TOUR Championship,2020,weekly
3,T2,Dustin Johnson,4,20,t060,TOUR Championship,2020,weekly
T4,T6,Justin Thomas,4,19,t060,TOUR Championship,2020,weekly
T4,T35,Sungjae Im,4,19,t060,TOUR Championship,2020,weekly
T6,T49,Harris English,4,18,t060,TOUR Championship,2020,weekly
T6,T6,Tony Finau,4,18,t060,TOUR Championship,2020,weekly
T6,T2,Rory McIlroy,4,18,t060,TOUR Championship,2020,weekly
T6,T35,Sebastián Muñoz,4,18,t060,TOUR Championship,2020,weekly
T6,T28,Cameron Smith,4,18,t060,TOUR Championship,2020,weekly
T11,T6,Scottie Scheffler,4,17,t060,TOUR Championship,2020,weekly
T11,T19,Tyrrell Hatton,4,17,t060,TOUR Championship,2020,weekly
T13,T19,Lanto Griffin,4,16,t060,TOUR Championship,2020,weekly
T13,T35,Mackenzie Hughes,4,16,t060,TOUR Championship,2020,weekly
T13,T35,Daniel Berger,4,16,t060,TOUR Championship,2020,weekly
T13,,Webb Simpson,4,16,t060,TOUR Championship,2020,weekly
T13,T49,Ryan Palmer,4,16,t060,TOUR Championship,2020,weekly
T13,T4,Jon Rahm,4,16,t060,TOUR Championship,2020,weekly
T13,T58,Cameron Champ,4,16,t060,TOUR Championship,2020,weekly
T20,T35,Abraham Ancer,4,15,t060,TOUR Championship,2020,weekly
T20,T35,Kevin Kisner,4,15,t060,TOUR Championship,2020,weekly
22,T58,Billy Horschel,4,14,t060,TOUR Championship,2020,weekly
T23,T12,Hideki Matsuyama,4,13,t060,TOUR Championship,2020,weekly
T23,T12,Patrick Reed,4,13,t060,TOUR Championship,2020,weekly
T23,T19,Viktor Hovland,4,13,t060,TOUR Championship,2020,weekly
T26,T4,Joaquin Niemann,4,12,t060,TOUR Championship,2020,weekly
T26,69,Marc Leishman,4,12,t060,TOUR Championship,2020,weekly
T26,1,Brendon Todd,4,12,t060,TOUR Championship,2020,weekly
29,T19,Bryson DeChambeau,4,11,t060,TOUR Championship,2020,weekly
30,T58,Kevin Na,4,9,t060,TOUR Championship,2020,weekly
1,T52,Brendon Todd,4,18,t028,BMW Championship,2020,weekly
T2,T5,Dustin Johnson,4,15,t028,BMW Championship,2020,weekly
T2,T26,Rory McIlroy,4,15,t028,BMW Championship,2020,weekly
T4,,Joaquin Niemann,4,14,t028,BMW Championship,2020,weekly
T4,T37,Jon Rahm,4,14,t028,BMW Championship,2020,weekly
T6,T52,Justin Thomas,4,13,t028,BMW Championship,2020,weekly
T6,,Byeong Hun An,4,13,t028,BMW Championship,2020,weekly
T6,,Joel Dahmen,4,13,t028,BMW Championship,2020,weekly
T6,T1,Scottie Scheffler,4,13,t028,BMW Championship,2020,weekly
T6,T59,Xander Schauffele,4,13,t028,BMW Championship,2020,weekly
